date,sentiment,close,volume,open_interest,pct_change
2025-05-28,0.0,1537.0,16266,0,0.0
2025-05-29,0.0,1540.0,21860,0,0.2
2025-05-30,0.0,1522.0,31239,0,-1.17
2025-06-03,0.0,1509.0,28979,0,-0.85
2025-06-04,0.0,1509.96,23008,0,0.06
2025-06-05,0.0,1514.0,23214,0,0.27
2025-06-06,0.0,1506.39,25023,0,-0.5
2025-06-09,0.0,1486.11,44959,0,-1.35
2025-06-10,0.0,1475.01,30492,0,-0.75
2025-06-11,0.0,1480.0,30893,0,0.34
2025-06-12,0.0,1459.0,49904,0,-1.42
2025-06-13,0.0,1426.95,59113,0,-2.2
2025-06-16,0.0,1422.29,42888,0,-0.33
2025-06-17,0.0,1427.0,27232,0,0.33
2025-06-18,0.0,1425.0,30761,0,-0.14
2025-06-19,0.0,1426.0,24501,0,0.07
2025-06-20,0.0,1428.66,34816,0,0.19
2025-06-23,0.0,1420.0,26723,0,-0.61
2025-06-24,0.0,1437.2,36312,0,1.21
2025-06-25,0.0,1435.86,41050,0,-0.09
2025-06-26,0.0,1420.0,34860,0,-1.1
2025-06-27,0.0,1403.09,38250,0,-1.19
2025-06-30,0.0,1409.52,30457,0,0.46
2025-07-01,0.0,1405.1,19878,0,-0.31
2025-07-02,0.0,1409.6,26218,0,0.32
2025-07-03,0.0,1415.6,24413,0,0.43
2025-07-04,0.0,1422.22,28767,0,0.47
2025-07-07,0.0,1410.7,23855,0,-0.81
2025-07-08,0.0,1416.11,18674,0,0.38
2025-07-09,0.0,1418.88,27745,0,0.2
2025-07-10,0.0,1426.5,38725,0,0.54
2025-07-11,0.0,1427.0,57243,0,0.04
2025-07-14,0.0,1423.6,27781,0,-0.24
2025-07-15,0.0,1411.0,35406,0,-0.89
2025-07-16,0.0,1411.03,21286,0,0.0
2025-07-17,0.0,1416.35,23106,0,0.38
2025-07-18,0.0,1437.0,41823,0,1.46
2025-07-21,0.0,1443.0,26203,0,0.42
2025-07-22,0.0,1464.98,42119,0,1.52
2025-07-23,0.0,1475.5,45045,0,0.72
2025-07-24,0.0,1491.5,38804,0,1.08
2025-07-25,0.0,1455.0,41911,0,-2.45
2025-07-28,0.0,1438.66,38586,0,-1.12
2025-07-29,0.0,1439.0,26304,0,0.02
2025-07-30,0.0,1449.44,31868,0,0.73
2025-07-31,0.0,1421.67,51798,0,-1.92
2025-08-01,0.0,1417.0,29636,0,-0.33
2025-08-04,0.0,1419.0,18688,0,0.14
2025-08-05,0.0,1427.74,25342,0,0.62
2025-08-06,0.0,1423.88,23699,0,-0.27
2025-08-07,0.0,1422.35,28001,0,-0.11
2025-08-08,0.0,1420.97,18655,0,-0.1
2025-08-11,0.0,1445.0,47159,0,1.69
2025-08-12,0.0,1437.04,42019,0,-0.55
2025-08-13,0.0,1420.05,65528,0,-1.18
2025-08-14,0.0,1426.99,48129,0,0.49
2025-08-15,0.0,1422.08,47582,0,-0.34
2025-08-18,0.0,1428.5,47378,0,0.45
2025-08-19,0.0,1438.0,46372,0,0.67
2025-08-20,0.0,1450.0,45805,0,0.83
2025-08-21,0.0,1448.25,30891,0,-0.12
2025-08-22,0.0,1463.95,44971,0,1.08
2025-08-25,0.0,1490.33,65325,0,1.8
2025-08-26,0.0,1481.61,39602,0,-0.59
2025-08-27,0.0,1448.0,56006,0,-2.27
2025-08-28,0.0,1446.1,39282,0,-0.13
2025-08-29,0.0,1480.0,62256,0,2.34
2025-09-01,0.0,1476.1,45123,0,-0.26
2025-09-02,0.0,1491.3,56688,0,1.03
2025-09-03,0.0,1480.55,45045,0,-0.72
2025-09-04,0.0,1472.66,47747,0,-0.53
2025-09-05,0.0,1483.0,37388,0,0.7
2025-09-08,0.0,1501.23,51383,0,1.23
