date,sentiment,close,volume,open_interest,pct_change
2025-05-28,0.0,453.0,136370,28965,0.0
2025-05-29,0.0,467.1,180346,26374,0.0
2025-05-30,0.0,447.9,161097,27305,0.0
2025-06-03,0.0,462.5,64117,22683,3.26
2025-06-04,0.0,468.2,109921,23116,1.23
2025-06-05,0.0,463.7,134999,20707,-0.96
2025-06-06,0.0,466.1,109196,21135,0.52
2025-06-09,0.0,474.3,120628,22536,1.76
2025-06-10,0.0,479.8,92412,22829,1.16
2025-06-11,0.0,478.1,101043,21387,-0.35
2025-06-12,0.0,495.7,139341,22711,3.68
2025-06-13,0.0,529.9,165385,19611,6.9
2025-06-16,0.0,532.9,131524,29864,0.57
2025-06-17,0.0,524.9,182080,33094,-1.5
2025-06-18,0.0,552.7,315667,38030,5.3
2025-06-19,0.0,570.9,479375,41225,3.29
2025-06-20,0.0,566.6,455538,41211,-0.75
2025-06-23,0.0,574.5,422702,43660,1.39
2025-06-24,0.0,518.6,526467,42731,-9.73
2025-06-25,0.0,508.6,303969,35409,-1.93
2025-06-26,0.0,502.9,283709,35444,-1.12
2025-06-27,0.0,498.5,210677,31946,-0.87
2025-06-30,0.0,496.7,238738,30055,-0.36
2025-07-01,0.0,499.4,141645,30335,0.54
2025-07-02,0.0,498.2,137513,29708,-0.24
2025-07-03,0.0,506.3,179412,27063,1.63
2025-07-04,0.0,503.5,135161,25655,-0.55
2025-07-07,0.0,502.3,133485,26345,-0.24
2025-07-08,0.0,510.7,151790,24526,1.67
2025-07-09,0.0,519.7,128915,24507,1.76
2025-07-10,0.0,522.5,113989,23431,0.54
2025-07-11,0.0,513.9,129173,20068,-1.65
2025-07-14,0.0,513.0,48322,24552,-0.18
2025-07-15,0.0,506.1,57385,26153,-1.35
2025-07-16,0.0,507.9,52146,28091,0.36
2025-07-17,0.0,505.4,77721,30501,-0.49
2025-07-18,0.0,515.8,103875,35773,2.06
2025-07-21,0.0,512.3,150393,38281,-0.68
2025-07-22,0.0,504.3,143753,36584,-1.56
2025-07-23,0.0,503.7,128828,36294,-0.12
2025-07-24,0.0,508.9,123664,38719,1.03
2025-07-25,0.0,512.9,152592,39971,0.79
2025-07-28,0.0,505.9,117652,37812,-1.36
2025-07-29,0.0,515.0,126393,38672,1.8
2025-07-30,0.0,528.6,136653,37673,2.64
2025-07-31,0.0,531.3,107487,35066,0.51
2025-08-01,0.0,527.9,119348,32526,-0.64
2025-08-04,0.0,514.3,145837,28232,-2.58
2025-08-05,0.0,508.8,107222,28256,-1.07
2025-08-06,0.0,505.9,110664,30722,-0.57
2025-08-07,0.0,501.0,147561,31576,-0.97
2025-08-08,0.0,489.8,97489,32724,-2.24
2025-08-11,0.0,489.4,135666,29970,-0.08
2025-08-12,0.0,495.2,80612,26528,1.19
2025-08-13,0.0,490.6,40926,30917,-0.93
2025-08-14,0.0,485.5,61943,33455,-1.04
2025-08-15,0.0,488.1,57157,32519,0.54
2025-08-18,0.0,486.5,110520,34937,-0.33
2025-08-19,0.0,484.2,117329,36350,-0.47
2025-08-20,0.0,482.8,114618,37855,-0.29
2025-08-21,0.0,490.9,116216,36440,1.68
2025-08-22,0.0,493.6,109851,37322,0.55
2025-08-25,0.0,492.9,102824,37424,-0.14
2025-08-26,0.0,496.1,95625,37040,0.65
2025-08-27,0.0,479.7,125394,39460,-3.31
