date,sentiment,close,volume,open_interest,pct_change
2025-05-28,0.0,3805.0,45973,129593,0.0
2025-05-29,0.0,3832.8,70602,136268,0.73
2025-05-30,0.0,3822.4,63806,122449,-0.27
2025-06-03,0.0,3824.8,52960,123878,0.06
2025-06-04,0.0,3842.4,47487,116411,0.46
2025-06-05,0.0,3852.0,49359,116859,0.25
2025-06-06,0.0,3855.4,43521,110984,0.09
2025-06-09,0.0,3867.8,57026,119577,0.32
2025-06-10,0.0,3841.0,64495,112083,-0.69
2025-06-11,0.0,3878.8,69002,115340,0.98
2025-06-12,0.0,3883.6,51953,102508,0.12
2025-06-13,0.0,3856.4,60941,104348,-0.7
2025-06-16,0.0,3869.8,57349,83317,0.35
2025-06-17,0.0,3799.2,25492,102213,-1.82
2025-06-18,0.0,3801.6,29991,108981,0.06
2025-06-19,0.0,3766.0,37749,117192,-0.94
2025-06-20,0.0,3773.6,35051,119027,0.2
2025-06-23,0.0,3797.4,47208,128778,0.63
2025-06-24,0.0,3852.4,57535,133116,1.45
2025-06-25,0.0,3922.8,61056,139245,1.83
2025-06-26,0.0,3904.2,43176,135683,-0.47
2025-06-27,0.0,3876.6,56221,139367,-0.71
2025-06-30,0.0,3885.8,40077,135428,0.24
2025-07-01,0.0,3886.0,34558,132977,0.01
2025-07-02,0.0,3894.2,35301,133038,0.21
2025-07-03,0.0,3918.0,38088,132375,0.61
2025-07-04,0.0,3936.0,66892,146863,0.46
2025-07-07,0.0,3918.0,35769,135826,-0.46
2025-07-08,0.0,3958.6,50571,142398,1.04
2025-07-09,0.0,3952.8,43451,137184,-0.15
2025-07-10,0.0,3972.0,51019,144324,0.49
2025-07-11,0.0,3993.4,84781,158393,0.54
2025-07-14,0.0,3985.8,37589,150188,-0.19
2025-07-15,0.0,3980.6,62583,152828,-0.13
2025-07-16,0.0,3971.0,45629,147324,-0.24
2025-07-17,0.0,4011.8,49872,153281,1.03
2025-07-18,0.0,4041.8,59958,157186,0.75
2025-07-21,0.0,4064.8,49413,152831,0.57
2025-07-22,0.0,4109.8,69503,162828,1.11
2025-07-23,0.0,4109.2,76014,161682,-0.01
2025-07-24,0.0,4141.2,65298,163125,0.78
2025-07-25,0.0,4116.0,53170,155404,-0.61
2025-07-28,0.0,4122.0,54638,156735,0.15
2025-07-29,0.0,4141.4,58516,153577,0.47
2025-07-30,0.0,4136.4,81931,162604,-0.12
2025-07-31,0.0,4057.0,91447,157602,-1.92
2025-08-01,0.0,4029.6,56881,151416,-0.68
2025-08-04,0.0,4052.8,44736,146808,0.58
2025-08-05,0.0,4082.0,45420,147312,0.72
2025-08-06,0.0,4097.0,42038,144956,0.37
2025-08-07,0.0,4092.6,54603,149221,-0.11
2025-08-08,0.0,4083.2,42805,142247,-0.23
2025-08-11,0.0,4104.8,60577,151777,0.53
2025-08-12,0.0,4131.2,61270,149241,0.64
2025-08-13,0.0,4170.8,74450,160310,0.96
2025-08-14,0.0,4163.8,93677,167999,-0.17
2025-08-15,0.0,4209.4,90646,166989,1.1
2025-08-18,0.0,4237.8,99705,168841,0.67
2025-08-19,0.0,4216.2,73558,154897,-0.51
2025-08-20,0.0,4270.0,90137,159194,1.28
2025-08-21,0.0,4282.2,83303,151396,0.29
2025-08-22,0.0,4394.0,94570,161198,2.61
2025-08-25,0.0,4474.6,118828,165246,1.83
2025-08-26,0.0,4449.0,87160,151718,-0.57
2025-08-27,0.0,4384.0,113283,155760,-1.46
2025-08-28,0.0,4460.4,126057,154101,1.74
2025-08-29,0.0,4506.2,126040,151201,1.03
2025-09-01,0.0,4510.6,94140,137802,0.1
2025-09-02,0.0,4481.2,122523,146527,-0.65
2025-09-03,0.0,4430.0,120700,137484,-1.14
2025-09-04,0.0,4349.4,133914,144443,-1.82
2025-09-05,0.0,4456.6,98192,126309,2.46
2025-09-08,0.0,4453.0,83936,122548,-0.08
2025-09-09,0.0,4426.2,73565,112541,-0.6
2025-09-10,0.0,4432.4,76988,113485,0.14
2025-09-11,0.0,4562.0,96412,115085,2.92
2025-09-12,0.0,4523.2,83488,103677,-0.85
2025-09-15,0.0,4497.0,41930,115931,-0.58
2025-09-16,0.0,4489.2,51156,126801,-0.17
2025-09-17,0.0,4518.2,57612,133521,0.65
