date,sentiment,close,volume,open_interest,pct_change
2025-05-28,0.0,2961.0,961683,2316480,0.0
2025-05-29,0.0,2962.0,1247001,2249248,0.0
2025-05-30,0.0,2968.0,1333795,2209609,0.0
2025-06-03,0.0,2935.0,1140522,2221712,0.0
2025-06-04,0.0,2939.0,928744,2224255,0.14
2025-06-05,0.0,2958.0,996089,2187751,0.65
2025-06-06,0.0,3010.0,1739214,2274340,1.76
2025-06-09,0.0,3019.0,1083924,2292836,0.3
2025-06-10,0.0,3031.0,1082721,2319959,0.4
2025-06-11,0.0,3047.0,1264945,2355468,0.53
2025-06-12,0.0,3049.0,1296602,2356309,0.07
2025-06-13,0.0,3041.0,1167825,2318021,-0.26
2025-06-16,0.0,3045.0,1422022,2305935,0.13
2025-06-17,0.0,3074.0,1404601,2370120,0.95
2025-06-18,0.0,3062.0,1047245,2324483,-0.39
2025-06-19,0.0,3077.0,940043,2323742,0.49
2025-06-20,0.0,3067.0,913041,2339532,-0.32
2025-06-23,0.0,3037.0,1158175,2341727,-0.98
2025-06-24,0.0,3037.0,904147,2330396,0.0
2025-06-25,0.0,2993.0,1342168,2270410,-1.45
2025-06-26,0.0,2936.0,1851366,2252700,-1.9
2025-06-27,0.0,2946.0,987064,2221758,0.34
2025-06-30,0.0,2961.0,964679,2163708,0.51
2025-07-01,0.0,2961.0,896669,2148616,0.0
2025-07-02,0.0,2944.0,998822,2169357,-0.57
2025-07-03,0.0,2958.0,1025841,2133898,0.48
2025-07-04,0.0,2954.0,810518,2123115,-0.14
2025-07-07,0.0,2937.0,927127,2128446,-0.58
2025-07-08,0.0,2935.0,713595,2134739,-0.07
2025-07-09,0.0,2947.0,895519,2120335,0.41
2025-07-10,0.0,2954.0,1086977,2075754,0.24
2025-07-11,0.0,2976.0,1089715,2008008,0.74
2025-07-14,0.0,2992.0,1019387,1993430,0.54
2025-07-15,0.0,2978.0,854905,1962612,-0.47
2025-07-16,0.0,2977.0,750341,1942539,-0.03
2025-07-17,0.0,3029.0,1468250,1947148,1.75
2025-07-18,0.0,3056.0,1166958,1907175,0.89
2025-07-21,0.0,3069.0,972455,1885694,0.43
2025-07-22,0.0,3086.0,1180910,1851232,0.55
2025-07-23,0.0,3095.0,1166151,1838499,0.29
2025-07-24,0.0,3025.0,1842107,1668155,-2.26
2025-07-25,0.0,3021.0,894109,1623603,-0.13
2025-07-28,0.0,2990.0,1020578,1560299,-1.03
2025-07-29,0.0,2983.0,1013822,1468086,-0.23
2025-07-30,0.0,3010.0,1042163,1438908,0.91
2025-07-31,0.0,3000.0,1060322,1415275,-0.33
2025-08-01,0.0,3010.0,1016300,1396108,0.33
2025-08-04,0.0,3055.0,470772,1463460,1.5
2025-08-05,0.0,3065.0,573708,1487930,0.33
2025-08-06,0.0,3072.0,591739,1540786,0.23
2025-08-07,0.0,3078.0,527084,1600487,0.2
2025-08-08,0.0,3094.0,609803,1650480,0.52
2025-08-11,0.0,3072.0,1544163,1695053,-0.71
2025-08-12,0.0,3091.0,1107230,1757131,0.62
2025-08-13,0.0,3163.0,1964008,1935807,2.33
2025-08-14,0.0,3157.0,1347343,1990701,-0.19
2025-08-15,0.0,3137.0,1042430,2015132,-0.63
2025-08-18,0.0,3155.0,1057168,2064068,0.57
2025-08-19,0.0,3161.0,933541,2107908,0.19
2025-08-20,0.0,3160.0,1059141,2098746,-0.03
2025-08-21,0.0,3113.0,1452869,2059062,-1.49
2025-08-22,0.0,3088.0,1278955,2000115,-0.8
2025-08-25,0.0,3117.0,944017,1994689,0.94
2025-08-26,0.0,3081.0,1097489,2053457,-1.15
2025-08-27,0.0,3045.0,1351719,2090112,-1.17
2025-08-28,0.0,3039.0,1114536,2052391,-0.2
2025-08-29,0.0,3055.0,910391,2030073,0.53
2025-09-01,0.0,3054.0,799568,2048717,-0.03
2025-09-02,0.0,3050.0,757362,2048115,-0.13
2025-09-03,0.0,3066.0,798340,2037475,0.52
2025-09-04,0.0,3048.0,956943,2043281,-0.59
2025-09-05,0.0,3067.0,767878,1996647,0.62
2025-09-08,0.0,3081.0,1001708,1990833,0.46
2025-09-09,0.0,3075.0,689359,2002836,-0.19
2025-09-10,0.0,3066.0,805619,2014690,-0.29
2025-09-11,0.0,3088.0,798021,2001532,0.72
2025-09-12,0.0,3079.0,738621,1986206,-0.29
2025-09-15,0.0,3042.0,1450741,2050694,-1.2
2025-09-16,0.0,3041.0,964263,1995228,-0.03
2025-09-17,0.0,3002.0,1383681,2070225,-1.28
2025-09-18,0.0,2993.0,807553,2071291,-0.3
2025-09-19,0.0,3014.0,895606,2020535,0.7
2025-09-22,0.0,3034.0,1046478,1945986,0.66
2025-09-23,0.0,2928.0,2372830,2007056,-3.49
2025-09-24,0.0,2930.0,1226653,2035083,0.07
2025-09-25,0.0,2967.0,1262657,1937464,1.26
2025-09-26,0.0,2937.0,1050116,1986148,-1.01
2025-09-29,0.0,2933.0,817240,1925537,-0.14
2025-09-30,0.0,2928.0,570193,1864639,-0.17
2025-10-09,0.0,2939.0,647477,1869551,0.38
2025-10-10,0.0,2922.0,872310,1927483,-0.58
2025-10-13,0.0,2932.0,1110066,1930571,0.34
2025-10-14,0.0,2902.0,1293039,1997420,-1.02
2025-10-15,0.0,2917.0,842672,1975574,0.52
2025-10-16,0.0,2907.0,662721,1982359,-0.34
2025-10-17,0.0,2868.0,1113825,2044648,-1.34
2025-10-20,0.0,2895.0,946854,1984309,0.94
2025-10-21,0.0,2889.0,746759,1985599,-0.21
2025-10-22,0.0,2885.0,1101824,1990615,-0.14
2025-10-23,0.0,2938.0,1271519,1820261,1.84
2025-10-24,0.0,2933.0,952874,1759344,-0.17
2025-10-27,0.0,2932.0,914039,1729663,-0.03
2025-10-28,0.0,2975.0,1226995,1659517,1.47
2025-10-29,0.0,2969.0,1016829,1637499,-0.2
2025-10-30,0.0,2994.0,1006601,1623129,0.84
2025-10-31,0.0,3021.0,1416424,1649285,0.9
