date,sentiment,close,volume,open_interest,pct_change
2025-05-28,0.0,2964.0,1333951,2441388,0.0
2025-05-29,0.0,2978.0,1945056,2377320,0.0
2025-05-30,0.0,2961.0,1549422,2296076,0.0
2025-06-03,0.0,2928.0,1553663,2297854,-1.11
2025-06-04,0.0,2974.0,2066104,2280389,1.57
2025-06-05,0.0,2959.0,1486968,2257011,-0.5
2025-06-06,0.0,2975.0,1845348,2216449,0.54
2025-06-09,0.0,2981.0,1433362,2196722,0.2
2025-06-10,0.0,2974.0,1456363,2165234,-0.23
2025-06-11,0.0,2991.0,1514855,2164232,0.57
2025-06-12,0.0,2968.0,1312653,2220025,-0.77
2025-06-13,0.0,2969.0,2168544,2135660,0.03
2025-06-16,0.0,2990.0,1537422,2164732,0.71
2025-06-17,0.0,2981.0,1046237,2140997,-0.3
2025-06-18,0.0,2986.0,1326973,2133943,0.17
2025-06-19,0.0,2986.0,1180235,2132733,0.0
2025-06-20,0.0,2992.0,1414281,2164155,0.2
2025-06-23,0.0,2995.0,976619,2157949,0.1
2025-06-24,0.0,2977.0,1530297,2168877,-0.6
2025-06-25,0.0,2976.0,1361264,2172600,-0.03
2025-06-26,0.0,2973.0,1377892,2191778,-0.1
2025-06-27,0.0,2995.0,1500826,2142812,0.74
2025-06-30,0.0,2997.0,1768212,2124170,0.07
2025-07-01,0.0,3003.0,1372384,2076067,0.2
2025-07-02,0.0,3065.0,2371284,2226379,2.06
2025-07-03,0.0,3076.0,1776150,2237249,0.36
2025-07-04,0.0,3072.0,1644200,2238583,-0.13
2025-07-07,0.0,3061.0,1226302,2197330,-0.36
2025-07-08,0.0,3063.0,954572,2168547,0.07
2025-07-09,0.0,3063.0,1026448,2174940,0.0
2025-07-10,0.0,3123.0,2153427,2230034,1.96
2025-07-11,0.0,3133.0,1654545,2200525,0.32
2025-07-14,0.0,3138.0,1164609,2122341,0.16
2025-07-15,0.0,3114.0,1439493,2153850,-0.76
2025-07-16,0.0,3106.0,1130791,2137057,-0.26
2025-07-17,0.0,3133.0,1501721,2126876,0.87
2025-07-18,0.0,3147.0,1874850,2075786,0.45
2025-07-21,0.0,3224.0,2695588,2095915,2.45
2025-07-22,0.0,3307.0,3266737,2024488,2.57
2025-07-23,0.0,3274.0,2847237,1922699,-1.0
2025-07-24,0.0,3294.0,2533253,1906350,0.61
2025-07-25,0.0,3356.0,2877992,1998654,1.88
2025-07-28,0.0,3248.0,3414713,1935881,-3.22
2025-07-29,0.0,3347.0,2711612,2175237,3.05
2025-07-30,0.0,3315.0,3510866,2029132,-0.96
2025-07-31,0.0,3205.0,2730966,1816026,-3.32
2025-08-01,0.0,3203.0,1929148,1760700,-0.06
2025-08-04,0.0,3204.0,1634527,1742635,0.03
2025-08-05,0.0,3233.0,1580653,1708832,0.91
2025-08-06,0.0,3234.0,1202766,1652567,0.03
2025-08-07,0.0,3231.0,1648650,1628167,-0.09
2025-08-08,0.0,3213.0,1040873,1612110,-0.56
2025-08-11,0.0,3250.0,1411239,1612625,1.15
2025-08-12,0.0,3258.0,1141545,1605387,0.25
2025-08-13,0.0,3222.0,1236428,1652593,-1.1
2025-08-14,0.0,3189.0,1283713,1636544,-1.02
2025-08-15,0.0,3188.0,1119004,1617947,-0.03
2025-08-18,0.0,3155.0,1316477,1609893,-1.04
2025-08-19,0.0,3126.0,1121610,1608686,-0.92
2025-08-20,0.0,3132.0,1317374,1523392,0.19
2025-08-21,0.0,3121.0,1125179,1458107,-0.35
2025-08-22,0.0,3119.0,801266,1411511,-0.06
2025-08-25,0.0,3138.0,1200313,1347830,0.61
2025-08-26,0.0,3113.0,770094,1308206,-0.8
2025-08-27,0.0,3111.0,1006734,1234764,-0.06
2025-08-28,0.0,3129.0,947402,1148166,0.58
2025-08-29,0.0,3160.0,922905,1429783,0.99
2025-09-01,0.0,3115.0,1342816,1633714,-1.42
2025-09-02,0.0,3117.0,869767,1675244,0.06
2025-09-03,0.0,3106.0,1169148,1754813,-0.35
2025-09-04,0.0,3117.0,1231326,1736432,0.35
2025-09-05,0.0,3143.0,1385167,1737894,0.83
2025-09-08,0.0,3132.0,1257953,1798654,-0.35
2025-09-09,0.0,3123.0,1329359,1778829,-0.29
2025-09-10,0.0,3109.0,1264549,1867674,-0.45
2025-09-11,0.0,3092.0,1542810,2000701,-0.55
2025-09-12,0.0,3127.0,2108701,1912183,1.13
2025-09-15,0.0,3136.0,1471013,1978070,0.29
2025-09-16,0.0,3166.0,1965356,1956248,0.96
2025-09-17,0.0,3168.0,1242094,1963371,0.06
2025-09-18,0.0,3147.0,1727718,1999684,-0.66
2025-09-19,0.0,3172.0,1250591,1970510,0.79
2025-09-22,0.0,3185.0,1652529,1861141,0.41
2025-09-23,0.0,3155.0,1290376,1881411,-0.94
2025-09-24,0.0,3164.0,1205152,1882224,0.29
2025-09-25,0.0,3167.0,883015,1870448,0.09
2025-09-26,0.0,3114.0,1388756,1976545,-1.67
2025-09-29,0.0,3097.0,1145688,1926639,-0.55
2025-09-30,0.0,3072.0,959828,1873832,-0.81
2025-10-09,0.0,3096.0,823683,1908129,0.78
2025-10-10,0.0,3103.0,1039362,1926152,0.23
2025-10-13,0.0,3083.0,1231858,1952748,-0.64
2025-10-14,0.0,3061.0,1158107,1991462,-0.71
2025-10-15,0.0,3034.0,1018136,2051544,-0.88
2025-10-16,0.0,3049.0,1036367,2039387,0.49
2025-10-17,0.0,3037.0,854671,2004317,-0.39
2025-10-20,0.0,3045.0,1232489,2005926,0.26
2025-10-21,0.0,3047.0,894273,1995833,0.07
2025-10-22,0.0,3068.0,822731,1977511,0.69
2025-10-23,0.0,3071.0,930071,1969325,0.1
2025-10-24,0.0,3046.0,1081693,2050545,-0.81
2025-10-27,0.0,3100.0,1696201,1953000,1.77
2025-10-28,0.0,3091.0,1333406,1930357,-0.29
2025-10-29,0.0,3133.0,1239602,1894006,1.36
2025-10-30,0.0,3106.0,1440978,1894916,-0.86
2025-10-31,0.0,3106.0,985855,1879450,0.0
2025-11-03,0.0,3079.0,1150575,1919017,-0.87
2025-11-04,0.0,3044.0,1016464,1966541,-1.14
2025-11-05,0.0,3024.0,1149565,2031781,-0.66
2025-11-06,0.0,3037.0,884740,2020352,0.43
2025-11-07,0.0,3034.0,800946,1960886,-0.1
2025-11-10,0.0,3044.0,1049513,1923733,0.33
2025-11-11,0.0,3025.0,753110,1923701,-0.62
2025-11-12,0.0,3038.0,775671,1868036,0.43
2025-11-13,0.0,3046.0,885545,1857342,0.26
2025-11-14,0.0,3053.0,769087,1837133,0.23
2025-11-17,0.0,3097.0,1329220,1729747,1.44
2025-11-18,0.0,3090.0,801889,1655469,-0.23
2025-11-19,0.0,3070.0,912064,1631123,-0.65
2025-11-20,0.0,3050.0,1151053,1573323,-0.65
2025-11-21,0.0,3057.0,778544,1513411,0.23
2025-11-24,0.0,3089.0,1264959,1432705,1.05
2025-11-25,0.0,3106.0,929458,1301037,0.55
2025-11-26,0.0,3099.0,753169,1200700,-0.23
2025-11-27,0.0,3093.0,753252,1069617,-0.19
2025-11-28,0.0,3110.0,680865,972277,0.55
2025-12-01,0.0,3134.0,801820,882576,0.77
2025-12-02,0.0,3169.0,581458,1175559,1.12
2025-12-03,0.0,3169.0,750667,1297106,0.0
2025-12-04,0.0,3175.0,873461,1411905,0.19
2025-12-05,0.0,3157.0,680567,1474541,-0.57
2025-12-08,0.0,3123.0,1256787,1477577,-1.08
2025-12-09,0.0,3079.0,1324333,1593746,-1.41
2025-12-10,0.0,3117.0,1519252,1514218,1.23
2025-12-11,0.0,3069.0,1360006,1602075,-1.54
2025-12-12,0.0,3060.0,974336,1607057,-0.29
2025-12-15,0.0,3074.0,1232643,1627666,0.46
2025-12-16,0.0,3081.0,778715,1615142,0.23
2025-12-17,0.0,3084.0,593611,1604729,0.1
2025-12-18,0.0,3125.0,1215549,1575943,1.33
2025-12-19,0.0,3119.0,686113,1568866,-0.19
2025-12-22,0.0,3126.0,842412,1591974,0.22
2025-12-23,0.0,3128.0,849315,1580041,0.06
2025-12-24,0.0,3136.0,837866,1597429,0.26
2025-12-25,0.0,3127.0,502388,1581839,-0.29
2025-12-26,0.0,3118.0,1132633,1534424,-0.29
2025-12-29,0.0,3130.0,1051146,1530792,0.38
2025-12-30,0.0,3134.0,635547,1560806,0.13
2025-12-31,0.0,3122.0,651840,1505284,-0.38
2026-01-05,0.0,3104.0,697016,1548351,-0.58
2026-01-06,0.0,3111.0,841618,1562948,0.23
2026-01-07,0.0,3187.0,1937222,1741383,2.44
2026-01-08,0.0,3168.0,1350602,1781801,-0.6
2026-01-09,0.0,3144.0,1169507,1714863,-0.76
2026-01-12,0.0,3165.0,957421,1726703,0.67
2026-01-13,0.0,3158.0,837879,1687943,-0.22
2026-01-14,0.0,3162.0,764719,1691461,0.13
2026-01-15,0.0,3160.0,754088,1685122,-0.06
2026-01-16,0.0,3163.0,1365347,1755329,0.09
2026-01-19,0.0,3140.0,1056242,1727955,-0.73
2026-01-20,0.0,3111.0,936583,1741235,-0.92
2026-01-21,0.0,3117.0,633661,1742258,0.19
2026-01-22,0.0,3124.0,615894,1747274,0.22
2026-01-23,0.0,3142.0,657796,1741762,0.58
2026-01-26,0.0,3143.0,809245,1730856,0.03
2026-01-27,0.0,3126.0,673796,1714659,-0.54
2026-01-28,0.0,3123.0,607256,1744406,-0.1
2026-01-29,0.0,3157.0,1026450,1785379,1.09
2026-01-30,0.0,3128.0,1218321,1734109,-0.92
2026-02-02,0.0,3098.0,1134404,1784097,-0.96
2026-02-03,0.0,3099.0,685806,1805126,0.03
2026-02-04,0.0,3110.0,614090,1798227,0.35
2026-02-05,0.0,3101.0,681405,1847671,-0.29
2026-02-06,0.0,3077.0,723307,1915253,-0.77
2026-02-09,0.0,3064.0,665539,2005501,-0.42
2026-02-10,0.0,3052.0,528327,2065537,-0.39
2026-02-11,0.0,3054.0,557284,2063660,0.07
2026-02-12,0.0,3050.0,444164,2029537,-0.13
2026-02-13,0.0,3055.0,555957,1942442,0.16
2026-02-24,-0.006905984663378028,3027.0,746349,2034509,-0.92
2026-02-25,0.026056814934187357,3076.0,1150036,1988709,1.62
2026-02-26,0.05411605972718582,3063.0,692924,1952420,-0.42
